sep=;
Dataset;k;Accuracy;Individual accs
bupa;3;0.631857;[0.643333, 0.541905, 0.638095, 0.586667, 0.62219, 0.551143, 0.700476]
wdbc;3;0.944191;[0.924074, 0.512339, 0.918811, 0.370468, 0.948928, 0.384318, 0.9577]
bupa;5;0.671714;[0.639619, 0.532381, 0.639524, 0.580952, 0.689714, 0.588857, 0.669048]
sonar;7;0.585159;[0.561111, 0.424603, 0.580952, 0.519841, 0.573016, 0.536349, 0.624603]
pima;5;0.718455;[0.72142, 0.553766, 0.68755, 0.355411, 0.669153, 0.453524, 0.713455]
pima;7;0.722632;[0.740935, 0.452208, 0.707065, 0.359342, 0.682462, 0.400407, 0.743532]
pima;3;0.701207;[0.703065, 0.610866, 0.658771, 0.481835, 0.660476, 0.494506, 0.70187]
sonar;5;0.586270;[0.580952, 0.457937, 0.572222, 0.539683, 0.58254, 0.541111, 0.634127]
sonar;3;0.582778;[0.575397, 0.443651, 0.580952, 0.602381, 0.611111, 0.570476, 0.586508]
bupa;7;0.674190;[0.672381, 0.532381, 0.68, 0.580952, 0.690667, 0.583143, 0.673333]
ionosphere;5;0.881944;[0.828704, 0.467407, 0.841667, 0.538056, 0.536667, 0.536667, 0.888889]
biodegradation;3;0.795921;[0.735531, 0.496337, 0.686998, 0.642865, 0.496337, 0.496337, 0.799159]
wdbc;7;0.955058;[0.929532, 0.580351, 0.924074, 0.370468, 0.947271, 0.389103, 0.956043]
ThoraricSurgery;3;0.848511;[0.810638, 0.851064, 0.823404, 0.817021, 0.851064, 0.851064, 0.831915]
ThoraricSurgery;5;0.850000;[0.831915, 0.851064, 0.834043, 0.755319, 0.851064, 0.851064, 0.842553]
wdbc;5;0.951813;[0.929532, 0.559298, 0.922222, 0.370468, 0.947173, 0.387875, 0.954191]
ionosphere;3;0.882778;[0.839815, 0.457037, 0.853704, 0.531759, 0.53, 0.53, 0.894444]
ionosphere;7;0.877222;[0.828704, 0.463426, 0.82963, 0.570463, 0.565, 0.565, 0.886111]
biodegradation;7;0.806790;[0.745059, 0.561399, 0.703979, 0.650685, 0.561399, 0.561399, 0.813217]
biodegradation;5;0.809396;[0.749776, 0.502752, 0.709639, 0.648855, 0.502752, 0.502752, 0.80935]
ThoraricSurgery;7;0.851064;[0.842553, 0.851064, 0.838298, 0.808511, 0.851064, 0.851064, 0.848936]
seismic-bumps;7;0.933551;[0.925327, 0.934207, 0.92996, 0.920001, 0.934207, 0.934207, 0.919922]
seismic-bumps;3;0.934091;[0.908339, 0.934207, 0.914884, 0.888055, 0.934207, 0.934207, 0.906399]
vehicle;7;0.409415;[0.648133, 0.252852, 0.658463, 0.25801, 0.660313, 0.257771, 0.690827]
vehicle;3;0.461783;[0.648966, 0.244906, 0.676421, 0.25801, 0.625165, 0.256447, 0.678521]
vehicle;5;0.419780;[0.654089, 0.252158, 0.667991, 0.25801, 0.652923, 0.257936, 0.678973]
seismic-bumps;5;0.933821;[0.917605, 0.934207, 0.924546, 0.913113, 0.934207, 0.934207, 0.916051]
